employee_id,first_name,last_name,email,phone,date_of_birth,branch_id,position_title,department,position_level,monthly_salary,contract_type,weekly_hours,hire_date,termination_date,is_active,manager_id
1,Pieter,Kuiper,pieter.kuiper@degoudentarwe.nl,+31 06 68904559,1996-09-09,1,Regiomanager,Management,6,4832.66,Stage,20,2017-10-06,,True,1
2,Wilhelmina,Jansen,wilhelmina.jansen@degoudentarwe.nl,+31 030 8335875,1977-04-25,1,Verkoopmedewerker (parttime),Verkoop,1,1230.02,Stage,40,2019-09-07,2020-12-23,False,
3,Luuk,de Haan,luuk.dehaan@degoudentarwe.nl,+31 06 84670762,2001-10-08,1,Bakker,Productie,3,3334.04,Stage,20,2017-12-15,,True,1
4,Dirk,Kok,dirk.kok@degoudentarwe.nl,+31 010 6302073,1985-02-16,1,Banketbakker,Productie,4,3909.37,Tijdelijk,36,2018-07-12,,True,3
5,Joost,Dekker,joost.dekker@degoudentarwe.nl,+31 030 1046331,1990-10-09,1,Leerling Bakker,Productie,1,1674.34,Vast,24,2018-06-20,,True,
6,Lucas,van Leeuwen,lucas.vanleeuwen@degoudentarwe.nl,+31 010 5318437,2001-02-11,1,Leerling Bakker,Productie,1,1736.39,Vast,36,2018-04-26,,True,
7,Iris,van den Heuvel,iris.vandenheuvel@degoudentarwe.nl,+31 030 8666711,1972-01-10,1,Banketbakker,Productie,4,3089.13,Stage,20,2019-02-03,,True,5
8,Wilhelmina,de Vries,wilhelmina.devries@degoudentarwe.nl,+31 040 2501619,1966-04-12,1,Magazijnmedewerker,Logistiek,2,2145.70,Stage,24,2018-01-03,,True,
9,Noah,Jacobs,noah.jacobs@degoudentarwe.nl,+31 030 1211339,2002-02-23,1,Boekhouder,Financien,4,4023.69,Oproep,0,2018-01-30,,True,7
10,Hilde,de Jong,hilde.dejong@degoudentarwe.nl,+31 06 61181040,1981-06-19,1,Filiaalmanager,Management,5,4336.02,Tijdelijk,36,2018-01-25,,True,6
11,Wilhelmina,van Beek,wilhelmina.vanbeek@degoudentarwe.nl,+31 020 9960054,1972-07-23,1,HR Medewerker,HR,4,3786.34,Vast,20,2018-09-13,,True,10
12,Anna,Willems,anna.willems@degoudentarwe.nl,+31 010 8995847,1974-05-11,1,Assistent Bakker,Productie,2,2194.96,Vast,20,2018-09-12,,True,
13,Sem,de Graaf,sem.degraaf@degoudentarwe.nl,+31 06 96900249,1994-03-26,1,Banketbakker,Productie,4,3950.39,Oproep,0,2017-10-13,2019-11-02,False,12
14,Noah,Hendriks,noah.hendriks@degoudentarwe.nl,+31 06 72198305,1995-09-17,1,Banketbakker,Productie,4,3597.03,Tijdelijk,32,2018-06-22,,True,9
15,Hans,Kuiper,hans.kuiper@degoudentarwe.nl,+31 06 33045163,1977-02-03,1,Marketing Medewerker,Marketing,3,2896.16,Stage,16,2018-02-25,,True,13
16,Willem,Brouwer,willem.brouwer@degoudentarwe.nl,+31 06 16963605,1983-05-24,1,Filiaalmanager,Management,5,4518.41,Oproep,0,2018-03-21,,True,9
17,Petronella,Bakker,petronella.bakker@degoudentarwe.nl,+31 020 4996599,2003-02-08,1,Magazijnmedewerker,Logistiek,2,1902.80,Oproep,0,2017-10-17,,True,
18,Julia,Wolters,julia.wolters@degoudentarwe.nl,+31 040 8411128,1974-09-08,1,Schoonmaker,Facilitair,1,1659.53,Oproep,0,2018-03-03,2020-03-03,False,
19,Esther,van Leeuwen,esther.vanleeuwen@degoudentarwe.nl,+31 040 8727406,1976-04-15,1,Assistent Banketbakker,Productie,2,2329.49,Vast,24,2018-07-24,,True,
20,Sanne,van der Meer,sanne.vandermeer@degoudentarwe.nl,+31 030 8940966,1977-08-13,1,Filiaalmanager,Management,5,3793.52,Stage,24,2018-11-03,,True,6
21,Dirk,Peters,dirk.peters@degoudentarwe.nl,+31 06 27158495,1974-12-05,2,Leerling Bakker,Productie,1,1612.21,Vast,16,2018-12-31,,True,
22,Adriana,de Groot,adriana.degroot@degoudentarwe.nl,+31 010 8425750,1972-07-27,2,Bezorger,Logistiek,2,2287.84,Tijdelijk,32,2018-11-23,,True,
23,Thomas,Janssen,thomas.janssen@degoudentarwe.nl,+31 020 4641142,1993-02-19,2,HR Medewerker,HR,4,2843.64,Oproep,0,2016-03-30,,True,9
24,Cornelia,Bakker,cornelia.bakker@degoudentarwe.nl,+31 030 4489957,2003-01-09,2,Assistent Manager,Management,4,3184.77,Tijdelijk,36,2015-08-15,,True,20
25,Noah,Meijer,noah.meijer@degoudentarwe.nl,+31 040 5177511,1971-06-05,2,Banketbakker,Productie,4,3900.38,Tijdelijk,24,2015-06-11,,True,11
26,Mila,Vos,mila.vos@degoudentarwe.nl,+31 06 94266299,2004-05-27,2,Magazijnmedewerker,Logistiek,2,2048.20,Tijdelijk,36,2015-10-03,,True,
27,Ruben,Bos,ruben.bos@degoudentarwe.nl,+31 040 1079311,1997-12-24,2,Verkoopmedewerker,Verkoop,2,1849.58,Oproep,0,2016-03-07,,True,
28,Tessa,de Jong,tessa.dejong@degoudentarwe.nl,+31 06 37361525,1990-07-17,2,Assistent Banketbakker,Productie,2,2025.45,Tijdelijk,20,2016-04-04,,True,
29,Jan,van den Heuvel,jan.vandenheuvel@degoudentarwe.nl,+31 010 2141121,1972-05-01,2,HR Medewerker,HR,4,3326.02,Oproep,0,2015-07-14,,True,11
30,Eva,Klein,eva.klein@degoudentarwe.nl,+31 040 9143543,2001-09-13,2,Leerling Bakker,Productie,1,1855.25,Oproep,0,2016-05-05,,True,
31,Lars,Bakker,lars.bakker@degoudentarwe.nl,+31 010 9444779,1987-01-11,2,Regiomanager,Management,6,4730.39,Stage,16,2015-06-29,,True,6
32,Lynn,de Wit,lynn.dewit@degoudentarwe.nl,+31 010 2288772,1988-06-14,2,Assistent Bakker,Productie,2,2129.00,Stage,32,2016-06-25,,True,
33,Pieter,Visser,pieter.visser@degoudentarwe.nl,+31 040 2506005,2004-04-24,2,Filiaalmanager,Management,5,3569.43,Oproep,0,2018-01-27,,True,30
34,Sem,Jacobs,sem.jacobs@degoudentarwe.nl,+31 020 6442069,1976-10-26,2,Hoofdbakker,Productie,4,3804.14,Oproep,0,2016-03-16,,True,1
35,Niels,Mulder,niels.mulder@degoudentarwe.nl,+31 06 27529529,1998-05-13,2,Assistent Manager,Management,4,3270.75,Oproep,0,2015-08-27,,True,18
36,Julia,van Vliet,julia.vanvliet@degoudentarwe.nl,+31 06 91197688,1980-06-25,2,Bakker,Productie,3,3150.25,Oproep,0,2016-01-04,,True,27
37,Liam,van Vliet,liam.vanvliet@degoudentarwe.nl,+31 020 5298619,1980-06-06,2,Filiaalmanager,Management,5,3593.97,Vast,32,2018-09-14,,True,28
38,Sem,de Haan,sem.dehaan@degoudentarwe.nl,+31 020 2772839,1976-09-03,2,Banketbakker,Productie,4,3478.14,Vast,40,2016-02-11,,True,13
39,Gerard,Jacobs,gerard.jacobs@degoudentarwe.nl,+31 06 42122531,1992-12-18,2,Assistent Manager,Management,4,3343.54,Oproep,0,2016-03-18,,True,26
40,Sara,Vermeer,sara.vermeer@degoudentarwe.nl,+31 06 66213844,1977-08-23,2,Hoofdbakker,Productie,4,3947.62,Vast,32,2015-10-04,,True,4
41,Gerard,van Dijk,gerard.vandijk@degoudentarwe.nl,+31 040 7287087,1989-06-13,3,Verkoopmedewerker,Verkoop,2,2112.90,Vast,24,2018-11-02,,True,
42,Hans,van Leeuwen,hans.vanleeuwen@degoudentarwe.nl,+31 06 89332139,1995-01-07,3,Bakker,Productie,3,3319.34,Stage,16,2018-03-19,,True,33
43,Lars,de Haan,lars.dehaan@degoudentarwe.nl,+31 06 21625382,1989-05-24,3,Filiaalmanager,Management,5,4219.00,Stage,20,2018-08-08,,True,39
44,Fenna,Peters,fenna.peters@degoudentarwe.nl,+31 06 23659293,1989-09-09,3,Assistent Manager,Management,4,3664.16,Tijdelijk,36,2018-08-29,,True,8
45,Niels,Mulder,niels.mulder@degoudentarwe.nl,+31 06 94188449,1967-03-04,3,Bezorger,Logistiek,2,2378.95,Oproep,0,2018-10-22,,True,
46,Bram,de Graaf,bram.degraaf@degoudentarwe.nl,+31 020 8727997,1981-04-02,3,Verkoopmedewerker (parttime),Verkoop,1,933.75,Oproep,0,2018-09-14,,True,
47,Roos,Visser,roos.visser@degoudentarwe.nl,+31 06 74601923,1968-06-12,3,Banketbakker,Productie,4,3401.36,Tijdelijk,36,2018-04-30,,True,6
48,Finn,Peeters,finn.peeters@degoudentarwe.nl,+31 040 1788897,1985-01-04,3,Bakker,Productie,3,3298.26,Stage,24,2018-08-09,,True,15
49,Finn,Jansen,finn.jansen@degoudentarwe.nl,+31 06 47912863,1977-09-05,4,Assistent Banketbakker,Productie,2,2234.17,Tijdelijk,40,2016-08-10,,True,
50,Roos,Hermans,roos.hermans@degoudentarwe.nl,+31 040 3349037,2003-02-19,4,Filiaalmanager,Management,5,3823.98,Vast,40,2016-07-04,2020-05-25,False,40
51,Stijn,Meijer,stijn.meijer@degoudentarwe.nl,+31 06 86955760,2002-08-02,4,Verkoopmedewerker,Verkoop,2,2264.35,Tijdelijk,20,2015-01-12,,True,
52,Tessa,van Beek,tessa.vanbeek@degoudentarwe.nl,+31 020 4969713,1993-08-02,4,Verkoopmedewerker,Verkoop,2,2022.88,Stage,40,2017-03-16,,True,
53,Jesse,Smeets,jesse.smeets@degoudentarwe.nl,+31 020 8148487,1988-04-06,4,Marketing Medewerker,Marketing,3,3585.74,Stage,32,2017-04-08,,True,25
54,Jan,Prins,jan.prins@degoudentarwe.nl,+31 030 6857048,1990-03-08,4,Verkoopmedewerker,Verkoop,2,2170.60,Oproep,0,2017-09-01,,True,
55,Sophie,Vos,sophie.vos@degoudentarwe.nl,+31 020 8697938,1972-07-08,4,Bezorger,Logistiek,2,2244.32,Vast,24,2017-06-27,,True,
56,Thomas,Hoekstra,thomas.hoekstra@degoudentarwe.nl,+31 010 5829924,1969-01-02,4,Verkoopmedewerker (parttime),Verkoop,1,969.05,Tijdelijk,24,2015-02-23,,True,
57,Jesse,van Dijk,jesse.vandijk@degoudentarwe.nl,+31 020 9686170,1974-11-10,4,Assistent Banketbakker,Productie,2,2326.12,Oproep,0,2015-12-13,,True,
58,Thijs,Kok,thijs.kok@degoudentarwe.nl,+31 06 14893693,2000-07-10,4,Assistent Manager,Management,4,3707.32,Stage,36,2016-08-04,,True,43
59,Johanna,Janssen,johanna.janssen@degoudentarwe.nl,+31 06 23904276,2000-01-26,4,HR Medewerker,HR,4,3258.75,Oproep,0,2015-07-22,,True,3
60,Gerard,van der Linden,gerard.vanderlinden@degoudentarwe.nl,+31 020 1758402,1972-03-14,4,HR Medewerker,HR,4,2818.39,Vast,40,2014-03-03,,True,23
61,Gerard,Hermans,gerard.hermans@degoudentarwe.nl,+31 06 50727181,1979-11-23,4,Assistent Bakker,Productie,2,2057.86,Oproep,0,2018-01-22,,True,
62,Annemiek,Prins,annemiek.prins@degoudentarwe.nl,+31 040 9802878,1982-01-17,4,Assistent Banketbakker,Productie,2,2145.50,Tijdelijk,32,2019-07-21,2022-09-04,False,
63,Thomas,Wolters,thomas.wolters@degoudentarwe.nl,+31 010 8983274,1995-11-02,4,Verkoopmedewerker,Verkoop,2,2294.40,Oproep,0,2018-04-06,,True,
64,Finn,van der Linden,finn.vanderlinden@degoudentarwe.nl,+31 06 95317727,1986-02-25,4,Boekhouder,Financien,4,3778.64,Vast,24,2015-04-26,,True,23
65,Pieter,Prins,pieter.prins@degoudentarwe.nl,+31 020 2766550,1989-07-20,4,Hoofdbakker,Productie,4,4294.08,Oproep,0,2016-02-27,,True,64
66,Luuk,Schouten,luuk.schouten@degoudentarwe.nl,+31 020 9421835,1966-08-20,4,Marketing Medewerker,Marketing,3,3216.70,Stage,36,2014-04-02,,True,35
67,Milan,Hoekstra,milan.hoekstra@degoudentarwe.nl,+31 06 45000869,1974-01-17,4,Schoonmaker,Facilitair,1,1729.22,Vast,32,2016-11-02,,True,
68,Bram,Wolters,bram.wolters@degoudentarwe.nl,+31 030 4766621,2001-12-18,4,Filiaalmanager,Management,5,4020.26,Tijdelijk,20,2016-12-05,,True,18
69,Eva,Peeters,eva.peeters@degoudentarwe.nl,+31 06 40894365,2003-12-22,5,Verkoopmedewerker,Verkoop,2,2152.75,Vast,24,2018-04-20,2020-05-21,False,
70,Yara,Strik,yara.strik@degoudentarwe.nl,+31 06 98166134,1999-04-19,5,Verkoopmedewerker (parttime),Verkoop,1,1136.69,Oproep,0,2015-07-29,,True,
71,Lars,van den Berg,lars.vandenberg@degoudentarwe.nl,+31 06 58517795,1979-07-07,5,Leerling Bakker,Productie,1,1723.49,Stage,24,2017-08-22,,True,
72,Lotte,Hendriks,lotte.hendriks@degoudentarwe.nl,+31 06 53226220,1986-01-09,5,Bakker,Productie,3,3235.54,Tijdelijk,20,2019-05-07,,True,27
73,Greta,Peeters,greta.peeters@degoudentarwe.nl,+31 030 6450357,1968-02-10,5,Boekhouder,Financien,4,4158.91,Tijdelijk,40,2018-12-15,,True,15
74,Fleur,Jacobs,fleur.jacobs@degoudentarwe.nl,+31 06 59418463,1978-07-10,5,Schoonmaker,Facilitair,1,1705.83,Tijdelijk,16,2017-01-23,,True,
75,Marieke,Hendriks,marieke.hendriks@degoudentarwe.nl,+31 06 82433479,1980-05-14,5,Magazijnmedewerker,Logistiek,2,2042.03,Stage,36,2016-11-13,,True,
76,Mila,Hermans,mila.hermans@degoudentarwe.nl,+31 040 5691550,1984-01-10,5,Boekhouder,Financien,4,3269.15,Tijdelijk,16,2018-01-11,,True,44
77,Iris,Hendriks,iris.hendriks@degoudentarwe.nl,+31 010 6958032,1998-02-15,5,Leerling Bakker,Productie,1,1802.77,Tijdelijk,20,2017-07-21,,True,
78,Evi,van der Linden,evi.vanderlinden@degoudentarwe.nl,+31 040 3219635,1995-09-14,5,HR Medewerker,HR,4,3708.40,Vast,24,2015-06-17,,True,46
79,Cornelia,Smeets,cornelia.smeets@degoudentarwe.nl,+31 010 6818996,1998-03-23,5,Leerling Bakker,Productie,1,1658.32,Vast,24,2018-03-10,,True,
80,Johanna,Groen,johanna.groen@degoudentarwe.nl,+31 06 77283667,1979-10-13,5,Banketbakker,Productie,4,2805.10,Tijdelijk,16,2016-07-17,,True,3
81,Adriana,Brouwer,adriana.brouwer@degoudentarwe.nl,+31 06 96002142,1978-03-17,5,Leerling Bakker,Productie,1,1712.32,Tijdelijk,32,2018-02-21,,True,
82,Hendrik,Mulder,hendrik.mulder@degoudentarwe.nl,+31 06 55568061,1979-10-09,5,Assistent Manager,Management,4,3510.78,Oproep,0,2015-10-03,2018-04-16,False,70
83,Femke,Molenaar,femke.molenaar@degoudentarwe.nl,+31 040 2766206,1970-05-14,5,Assistent Manager,Management,4,3369.84,Tijdelijk,16,2014-07-21,,True,45
84,Adriana,van Leeuwen,adriana.vanleeuwen@degoudentarwe.nl,+31 040 5114033,1974-07-09,5,Filiaalmanager,Management,5,3621.32,Tijdelijk,16,2015-10-04,,True,25
85,Lisa,Bos,lisa.bos@degoudentarwe.nl,+31 06 29626336,2002-09-16,5,Assistent Manager,Management,4,3362.59,Stage,20,2017-02-01,2018-11-03,False,17
86,Sem,Klein,sem.klein@degoudentarwe.nl,+31 06 87780041,1985-12-18,5,Hoofdbakker,Productie,4,4315.44,Stage,40,2014-03-14,2016-03-25,False,34
87,Femke,Brouwer,femke.brouwer@degoudentarwe.nl,+31 010 7572763,2001-12-18,5,HR Medewerker,HR,4,3137.89,Stage,16,2014-01-13,2014-04-28,False,72
88,Daan,van der Velden,daan.vandervelden@degoudentarwe.nl,+31 06 22751923,1992-05-04,5,Marketing Medewerker,Marketing,3,3089.11,Stage,20,2019-06-24,,True,70
89,Thomas,van der Velden,thomas.vandervelden@degoudentarwe.nl,+31 030 6514546,2004-08-18,6,Boekhouder,Financien,4,4089.07,Tijdelijk,40,2016-10-24,,True,22
90,Thomas,Bos,thomas.bos@degoudentarwe.nl,+31 040 9241317,1988-03-24,6,Bezorger,Logistiek,2,1997.74,Vast,20,2014-09-14,,True,
91,Kees,Bakker,kees.bakker@degoudentarwe.nl,+31 030 4293189,1971-01-04,6,Leerling Bakker,Productie,1,1880.75,Tijdelijk,32,2014-07-25,,True,
92,Fenna,Hoekstra,fenna.hoekstra@degoudentarwe.nl,+31 06 17783496,1973-04-01,6,Bakker,Productie,3,3257.90,Stage,32,2015-03-05,,True,46
93,Max,de Groot,max.degroot@degoudentarwe.nl,+31 040 2109868,1969-12-19,6,Bakker,Productie,3,3001.75,Oproep,0,2016-01-28,,True,14
94,Adriana,Molenaar,adriana.molenaar@degoudentarwe.nl,+31 040 3759831,1995-08-25,6,Marketing Medewerker,Marketing,3,2894.21,Oproep,0,2014-01-13,2018-01-11,False,90
95,Evi,Vermeer,evi.vermeer@degoudentarwe.nl,+31 06 25487673,1993-03-25,6,Assistent Bakker,Productie,2,2155.30,Tijdelijk,20,2017-05-20,,True,
96,Greta,de Jong,greta.dejong@degoudentarwe.nl,+31 040 2937127,1997-12-10,6,Assistent Manager,Management,4,3647.03,Tijdelijk,20,2016-12-02,,True,89
97,Lucas,Janssen,lucas.janssen@degoudentarwe.nl,+31 040 4002969,1997-10-17,6,Bakker,Productie,3,2994.65,Tijdelijk,40,2017-10-14,,True,17
98,Noa,van Dijk,noa.vandijk@degoudentarwe.nl,+31 010 6518687,1983-06-27,6,Boekhouder,Financien,4,3551.73,Vast,36,2014-11-09,,True,63
